t,delta_theta
45.640000,0.482701
45.680000,0.484718
45.720000,0.485979
45.760000,0.486476
45.800000,0.486210
45.840000,0.485188
45.880000,0.483426
45.920000,0.480948
45.960000,0.477783
46.000000,0.473968
46.040000,0.469544
46.080000,0.464559
46.120000,0.459062
46.160000,0.453108
46.200000,0.446752
46.240000,0.440051
46.280000,0.433062
46.320000,0.425843
46.360000,0.418448
46.400000,0.410932
46.440000,0.403346
46.480000,0.395740
46.520000,0.388159
46.560000,0.380647
46.600000,0.373242
46.640000,0.365982
46.680000,0.358898
46.720000,0.352020
46.760000,0.345374
46.800000,0.338983
46.840000,0.332868
46.880000,0.327045
46.920000,0.321529
46.960000,0.316333
47.000000,0.311467
47.040000,0.306939
47.080000,0.302757
47.120000,0.298924
47.160000,0.295445
47.200000,0.292323
47.240000,0.289559
47.280000,0.287153
47.320000,0.285106
47.360000,0.283417
47.400000,0.282085
47.440000,0.281108
47.480000,0.280484
47.520000,0.280211
47.560000,0.280287
47.600000,0.280709
47.640000,0.281474
47.680000,0.282580
47.720000,0.284025
47.760000,0.285804
47.800000,0.287917
47.840000,0.290360
47.880000,0.293130
47.920000,0.296225
47.960000,0.299642
48.000000,0.303379
48.040000,0.307432
48.080000,0.311798
48.120000,0.316476
48.160000,0.321460
48.200000,0.326749
48.240000,0.332337
48.280000,0.338221
48.320000,0.344395
48.360000,0.350855
48.400000,0.357594
48.440000,0.364605
48.480000,0.371880
48.520000,0.379410
48.560000,0.387184
48.600000,0.395191
48.640000,0.403417
48.680000,0.411847
48.720000,0.420464
48.760000,0.429249
48.800000,0.438179
48.840000,0.447231
48.880000,0.456378
48.920000,0.465591
48.960000,0.474837
49.000000,0.484082
49.040000,0.493287
49.080000,0.502411
49.120000,0.511409
49.160000,0.520236
49.200000,0.528842
49.240000,0.537175
49.280000,0.545182
49.320000,0.552808
49.360000,0.559997
49.400000,0.566693
49.440000,0.572841
49.480000,0.578386
49.520000,0.583278
49.560000,0.587466
49.600000,0.590907
49.640000,0.593559
49.680000,0.595390
49.720000,0.596370
49.760000,0.596481
49.800000,0.595708
49.840000,0.594048
49.880000,0.591505
49.920000,0.588091
49.960000,0.583827
50.000000,0.578743
50.040000,0.572877
50.080000,0.566271
50.120000,0.558977
50.160000,0.551051
50.200000,0.542553
50.240000,0.533548
50.280000,0.524102
50.320000,0.514282
50.360000,0.504159
50.400000,0.493799
50.440000,0.483270
50.480000,0.472637
50.520000,0.461962
50.560000,0.451305
50.600000,0.440721
50.640000,0.430262
50.680000,0.419977
50.720000,0.409908
50.760000,0.400096
50.800000,0.390575
50.840000,0.381378
50.880000,0.372532
50.920000,0.364060
50.960000,0.355984
51.000000,0.348319
51.040000,0.341082
51.080000,0.334283
51.120000,0.327932
51.160000,0.322034
51.200000,0.316597
51.240000,0.311622
51.280000,0.307112
51.320000,0.303067
51.360000,0.299487
51.400000,0.296371
51.440000,0.293716
51.480000,0.291519
51.520000,0.289779
51.560000,0.288491
51.600000,0.287651
51.640000,0.287255
51.680000,0.287301
51.720000,0.287783
51.760000,0.288697
51.800000,0.290041
51.840000,0.291810
51.880000,0.294001
51.920000,0.296611
51.960000,0.299636
52.000000,0.303073
52.040000,0.306922
52.080000,0.311177
52.120000,0.315839
52.160000,0.320906
52.200000,0.326375
52.240000,0.332246
52.280000,0.338518
52.320000,0.345191
52.360000,0.352263
52.400000,0.359737
52.440000,0.367611
52.480000,0.375887
52.520000,0.384565
52.560000,0.393647
52.600000,0.403135
52.640000,0.413030
52.680000,0.423334
52.720000,0.434051
52.760000,0.445184
52.800000,0.456735
52.840000,0.468708
52.880000,0.481107
52.920000,0.493938
52.960000,0.507203
53.000000,0.520910
53.040000,0.535064
53.080000,0.549670
53.120000,0.564736
53.160000,0.580269
53.200000,0.596277
53.240000,0.612769
53.280000,0.629752
53.320000,0.647239
53.360000,0.665238
53.400000,0.683760
53.440000,0.702819
53.480000,0.722427
53.520000,0.742597
53.560000,0.763344
53.600000,0.784683
53.640000,0.806632
53.680000,0.829206
53.720000,0.852425
53.760000,0.876309
53.800000,0.900878
53.840000,0.926153
53.880000,0.952157
53.920000,0.978915
53.960000,1.006452
54.000000,1.034794
54.040000,1.063968
54.080000,1.094004
54.120000,1.124930
54.160000,1.156778
54.200000,1.189580
54.240000,1.223368
54.280000,1.258177
54.320000,1.294040
54.360000,1.330994
54.400000,1.369073
54.440000,1.408315
54.480000,1.448755
54.520000,1.490429
54.560000,1.533374
54.600000,1.577625
54.640000,1.623216
54.680000,1.670180
54.720000,1.718550
54.760000,1.768355
54.800000,1.819621
54.840000,1.872372
54.880000,1.926629
54.920000,1.982409
54.960000,2.039722
55.000000,2.098575
55.040000,2.158969
55.080000,2.220897
55.120000,2.284347
55.160000,2.349297
55.200000,2.415718
55.240000,2.483574
55.280000,2.552817
55.320000,2.623392
55.360000,2.695232
55.400000,2.768264
55.440000,2.842401
55.480000,2.917551
55.520000,2.993610
55.560000,3.070466
55.600000,3.148000
55.640000,3.226086
55.680000,3.304591
55.720000,3.383378
55.760000,3.462305
