theta,omega
3.0336892477,-0.8419067575
2.2856155062,-1.1654424964
3.1155212777,-0.5516465639
3.0456988377,-0.8024087763
2.1657986461,-1.2895177171
2.9712997077,-0.6635323450
2.5489333964,-1.1343134734
2.4582223931,-1.0973770655
3.0733652829,-0.8518600122
2.1671612700,-1.2655444781
2.9918899982,-0.6518553574
3.0755404488,-0.7783633048
2.7134838870,-1.0568805371
2.8749812518,-0.9725173631
3.1271485255,-0.8468282985
2.6000847038,-1.1091774056
3.0345246722,-0.8229111614
2.2162483282,-1.2249703071
3.0366957426,-0.6145233099
2.7653755096,-0.6807588775
2.9601147231,-0.6426308673
2.5808205394,-1.1186900629
3.0811156655,-0.7743891617
2.9804787993,-0.9454073304
3.0367232043,-0.5831596707
3.0577131776,-0.8541277038
2.2204238198,-1.2139284416
3.0538354122,-0.6021810209
3.0932209092,-0.8509252829
2.1710490379,-1.2905869060
2.9821171704,-0.6581540175
2.8958495247,-0.9833543835
3.0351459408,-0.8494177509
2.3127157086,-1.1439697306
2.4399750166,-1.1234839079
3.0361923258,-0.8436301046
2.2772573292,-1.1661225585
3.1176039132,-0.5514807079
2.4483556222,-1.1022804157
3.0583129756,-0.8499917063
2.2016035908,-1.2354771985
3.0223364706,-0.6238547968
2.7227452431,-1.0353363451
2.4404046827,-1.1148435649
3.0396974149,-0.8470375229
2.2741813812,-1.1742320035
3.1032496793,-0.5608089444
3.0470208298,-0.8017490424
2.1694241770,-1.2898193802
2.9732854761,-0.6624628879
2.6042008671,-1.1091377333
3.0444223255,-0.8532442753
2.2932325433,-1.1564018376
3.1322391999,-0.5428701384
2.9863494488,-0.5109779666
3.0944492010,-0.8491778443
2.1969441454,-1.2858139694
2.9928771343,-0.6476540131
2.7494531942,-0.6932788361
3.0555085467,-0.5655681921
3.0548011002,-0.9066299152
2.4797533654,-1.0130580368
3.0562345269,-0.7987609148
2.1925934899,-1.2859999694
2.9977584631,-0.6473546563
2.3684059570,-0.9763529378
3.0696224732,-0.8513514073
2.1704723486,-1.2598059689
2.9973972685,-0.6463513954
3.0619645347,-0.7908889991
2.2874196390,-1.2505284491
3.0796818552,-0.5821826046
3.0703733363,-0.9044918465
2.3846124531,-1.0834817167
3.0347886921,-0.8255370533
2.2180188391,-1.2219271221
3.0399600832,-0.6108210722
2.6157914012,-1.0775389435
3.0504620615,-0.8010012841
2.1792084385,-1.2892802760
2.9791685893,-0.6596388882
2.7845099531,-1.0295276061
2.4746519460,-1.0783411149
3.1382276617,-0.8429660349
3.0643490079,-0.9137778381
2.4438545337,-1.0389396017
3.1323609630,-0.8434770952
2.8491980699,-0.9969034417
2.6645078676,-0.7565174094
3.1105445575,-0.7492000567
3.1114599340,-0.8465918709
2.3683519911,-1.2181248418
3.0642368812,-0.9009357558
2.3768569585,-1.0908317516
3.0476073620,-0.8085354950
2.1661937074,-1.2844743364
2.9730782100,-0.6650273930
2.5196948028,-1.1501169374
3.1181993411,-0.8475429552
2.4006163762,-1.2020965110
3.0463128296,-0.4649949097
3.1199393865,-0.4096621986
3.0951739943,-0.8524418323
2.1719427270,-1.2903942065
2.9818765509,-0.6608279799
2.7573985340,-1.0382293958
2.4013412080,-0.9539292433
3.0298030341,-0.8339079823
2.2674687271,-1.1738381623
3.1069750542,-0.5595997829
3.0285811226,-0.8431680808
2.3203118902,-1.1379506060
3.0325281741,-0.8437628146
2.2980590152,-1.1551016246
3.1296738123,-0.5403245379
2.7855879667,-1.0094750850
3.0336676136,-0.8384904590
2.2713170425,-1.1770615830
3.0995931981,-0.5640852439
3.0668851319,-0.8521965861
2.1811206894,-1.2554142555
2.9985042272,-0.6427218933
2.8171825785,-0.6392029430
2.5250880860,-0.9761076093
3.0514123229,-0.8054192163
2.1613948226,-1.2894621614
2.9757329246,-0.6653917137
2.5227237583,-1.1452675130
2.9813382400,-0.9342012333
3.0012822478,-0.6062364973
3.0698012991,-0.9049355668
2.3919882815,-1.0779726397
3.0323789917,-0.8351724389
2.2650838050,-1.1823666435
3.0924557489,-0.5698355285
2.7507889153,-0.6927269677
3.0523423313,-0.5685352215
2.6869117812,-0.8932008591
2.9972875827,-0.9245233779
2.8774455857,-0.7032737919
2.5068923031,-0.9863942694
3.0380834761,-0.8506537790
2.3060911009,-1.1499155082
3.1373656544,-0.5354739030
2.9604665630,-0.9385941490
3.0852465628,-0.5460829465
3.1314280154,-0.8450227019
2.7822754969,-1.0255889058
2.6133654677,-0.7958249137
3.0567931251,-0.8527277837
2.2185243963,-1.2210696312
3.0408662902,-0.6098345891
2.5022196408,-1.0510177958
3.0588991461,-0.9083027215
2.4741242749,-1.0136960901
3.0558726537,-0.7915751879
2.2557381342,-1.2652809217
3.0428633112,-0.6075827440
2.4657963301,-1.1317626828
3.0522331095,-0.8500762384
